,Compound Score,Negative Score,Neutral Score,Positive Score,Tweets Ago,key_term
0,0.4588,0.0,0.85,0.15,1,Bitcoin
1,0.6249,0.0,0.661,0.339,2,Bitcoin
2,0.3818,0.0,0.776,0.224,3,Bitcoin
3,0.0,0.0,1.0,0.0,4,Bitcoin
4,0.2023,0.0,0.924,0.076,5,Bitcoin
5,0.5423,0.0,0.809,0.191,6,Bitcoin
6,0.0,0.0,1.0,0.0,7,Bitcoin
7,0.0,0.0,1.0,0.0,8,Bitcoin
8,0.5719,0.0,0.866,0.134,9,Bitcoin
9,0.6369,0.0,0.792,0.208,10,Bitcoin
10,0.0,0.0,1.0,0.0,11,Bitcoin
11,0.6249,0.0,0.769,0.231,12,Bitcoin
12,0.8475,0.0,0.649,0.351,13,Bitcoin
13,-0.6801,0.301,0.699,0.0,14,Bitcoin
14,0.0,0.0,1.0,0.0,15,Bitcoin
15,0.0,0.0,1.0,0.0,16,Bitcoin
16,0.0,0.0,1.0,0.0,17,Bitcoin
17,0.3612,0.0,0.878,0.122,18,Bitcoin
18,-0.1779,0.075,0.925,0.0,19,Bitcoin
19,-0.1027,0.091,0.909,0.0,20,Bitcoin
20,0.4588,0.0,0.85,0.15,21,Bitcoin
21,0.6249,0.0,0.661,0.339,22,Bitcoin
22,0.3818,0.0,0.776,0.224,23,Bitcoin
23,0.0,0.0,1.0,0.0,24,Bitcoin
24,0.2023,0.0,0.924,0.076,25,Bitcoin
25,0.5423,0.0,0.809,0.191,26,Bitcoin
26,0.0,0.0,1.0,0.0,27,Bitcoin
27,0.0,0.0,1.0,0.0,28,Bitcoin
28,0.5719,0.0,0.866,0.134,29,Bitcoin
29,0.6369,0.0,0.792,0.208,30,Bitcoin
30,0.0,0.0,1.0,0.0,31,Bitcoin
31,0.6249,0.0,0.769,0.231,32,Bitcoin
32,0.8475,0.0,0.649,0.351,33,Bitcoin
33,-0.6801,0.301,0.699,0.0,34,Bitcoin
34,0.0,0.0,1.0,0.0,35,Bitcoin
35,0.0,0.0,1.0,0.0,36,Bitcoin
36,0.0,0.0,1.0,0.0,37,Bitcoin
37,0.3612,0.0,0.878,0.122,38,Bitcoin
38,-0.1779,0.075,0.925,0.0,39,Bitcoin
39,-0.1027,0.091,0.909,0.0,40,Bitcoin
40,0.0,0.0,1.0,0.0,41,Bitcoin
41,0.7177,0.0,0.684,0.316,42,Bitcoin
42,0.4215,0.0,0.781,0.219,43,Bitcoin
43,-0.2732,0.244,0.622,0.135,44,Bitcoin
44,0.3612,0.0,0.878,0.122,45,Bitcoin
45,0.4404,0.0,0.854,0.146,46,Bitcoin
46,0.0,0.0,1.0,0.0,47,Bitcoin
47,0.4019,0.0,0.881,0.119,48,Bitcoin
48,0.3818,0.0,0.874,0.126,49,Bitcoin
49,-0.0772,0.24,0.543,0.217,50,Bitcoin
50,0.3612,0.181,0.47,0.349,51,Bitcoin
51,0.0,0.0,1.0,0.0,52,Bitcoin
52,-0.7003,0.24,0.709,0.051,53,Bitcoin
53,0.3804,0.0,0.844,0.156,54,Bitcoin
54,0.0,0.0,1.0,0.0,55,Bitcoin
55,0.0,0.0,1.0,0.0,56,Bitcoin
56,0.0,0.0,1.0,0.0,57,Bitcoin
57,0.0,0.0,1.0,0.0,58,Bitcoin
58,0.0,0.0,1.0,0.0,59,Bitcoin
59,0.0,0.0,1.0,0.0,60,Bitcoin
60,0.0,0.0,1.0,0.0,61,Bitcoin
61,-0.2755,0.078,0.922,0.0,62,Bitcoin
62,0.3818,0.0,0.729,0.271,63,Bitcoin
63,0.0,0.0,1.0,0.0,64,Bitcoin
64,-0.1581,0.131,0.763,0.105,65,Bitcoin
65,0.5106,0.0,0.852,0.148,66,Bitcoin
66,0.4215,0.0,0.714,0.286,67,Bitcoin
67,0.1779,0.128,0.755,0.117,68,Bitcoin
68,0.3788,0.0,0.868,0.132,69,Bitcoin
69,0.5719,0.0,0.764,0.236,70,Bitcoin
70,0.9166,0.0,0.596,0.404,71,Bitcoin
71,0.0,0.0,1.0,0.0,72,Bitcoin
72,0.0,0.0,1.0,0.0,73,Bitcoin
73,0.0,0.0,1.0,0.0,74,Bitcoin
