Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
11/19/2018,BTCUSD,5560,5560,4670.63,4733.5,36133.96,183124118.8
11/20/2018,BTCUSD,4733.5,4889,4035,4349.23,61797.01,275875686.2
11/21/2018,BTCUSD,4349.23,4627.55,4239.01,4545.11,27423.73,121800475.3
11/22/2018,BTCUSD,4545.11,4589,4238.69,4263.66,12107.2,53839728.96
11/23/2018,BTCUSD,4263.66,4366.05,4086.16,4283.8,18389.56,77685278.7
11/24/2018,BTCUSD,4283.8,4370.78,3650.84,3774.99,20501.98,81745237.63
11/25/2018,BTCUSD,3774.99,4120,3457.81,3936.69,36576.28,137761165.1
11/26/2018,BTCUSD,3936.69,4076.25,3510,3731.32,34144.92,128945499.1
11/27/2018,BTCUSD,3731.32,3830,3562.9,3775,22536.15,83514577.38
11/28/2018,BTCUSD,3775,4365,3775,4225.03,34203.59,140103162.3
11/29/2018,BTCUSD,4225.03,4410.52,4078.21,4248,19053.48,80634972.42
11/30/2018,BTCUSD,4248,4297.71,3869,3975.48,18112.45,73243944.12
12/1/2018,BTCUSD,3976,4275.42,3910.08,4142.01,9685.27,39839244.19
12/2/2018,BTCUSD,4142.01,4263.77,4036,4103.19,10461.93,43216163.42
12/3/2018,BTCUSD,4103.19,4119.98,3741.95,3833.47,15624.16,60988995.33
12/4/2018,BTCUSD,3833.47,4035.1,3732.43,3901.84,15556.85,60561979.03
12/5/2018,BTCUSD,3901.84,3912.53,3660,3694.39,14074.46,53225016.59
12/6/2018,BTCUSD,3694.39,3849,3401,3433.26,26157.21,95403129.31
12/7/2018,BTCUSD,3433.26,3544.99,3212,3380.01,34994.71,117571739.6
12/8/2018,BTCUSD,3380.01,3495,3253.66,3401,13145.57,44474430.73
12/9/2018,BTCUSD,3401,3642.51,3373.52,3531.18,11241.81,39534414.79
12/10/2018,BTCUSD,3531.18,3590.71,3354.97,3410.15,12950.67,44649594.52
12/11/2018,BTCUSD,3410.15,3424.92,3293.49,3355.68,10574.9,35539918.9
12/12/2018,BTCUSD,3349.36,3486.16,3325.58,3430.24,10238.1,34894094.7
12/13/2018,BTCUSD,3430.24,3439.63,3227.96,3265,13289.12,44246274.75
12/14/2018,BTCUSD,3265,3294.9,3135,3195.71,13684.44,44008088.91
12/15/2018,BTCUSD,3195.71,3228.69,3130,3183,9032.11,28655379.18
12/16/2018,BTCUSD,3183,3258,3181.24,3195,6960.21,22400415.44
12/17/2018,BTCUSD,3195,3585.95,3184.28,3496.82,20649.01,70639362.06
12/18/2018,BTCUSD,3496.82,3688,3436.5,3667.77,16101.1,56933990.4
12/19/2018,BTCUSD,3667.77,3928.15,3642.17,3682.51,27118.36,101817752.9
12/20/2018,BTCUSD,3682.51,4175,3661.5,4075.34,28862.88,114890624.6
12/21/2018,BTCUSD,4075.34,4162.27,3775,3839.06,21880.53,86954689.31
12/22/2018,BTCUSD,3839.06,4005,3790.16,3980.46,9641.35,37325618.06
12/23/2018,BTCUSD,3980.46,4050,3904.87,3944.93,9760.55,38817919.58
12/24/2018,BTCUSD,3944.93,4239.37,3944.92,4034,18459.12,76089211.12
12/25/2018,BTCUSD,4034,4045.41,3676.15,3780,11888.87,45000432.16
12/26/2018,BTCUSD,3780,3849.2,3685.02,3809.88,8763.53,33042372.79
12/27/2018,BTCUSD,3809.88,3841.21,3567,3589.89,12383.47,45731632.17
12/28/2018,BTCUSD,3589.89,3971.58,3576.12,3888.06,15655.27,59270515.49
12/29/2018,BTCUSD,3888.06,3944.33,3706,3729.31,8888.81,34339865.94
12/30/2018,BTCUSD,3729.31,3863.06,3691.01,3829,8281.34,31410502.18
12/31/2018,BTCUSD,3829,3835.4,3625.84,3691.86,11743.89,43908768.84
1/1/2019,BTCUSD,3691.86,3841.17,3651.02,3826.09,10364.91,38462527.75
1/2/2019,BTCUSD,3826.09,3916.57,3770.07,3890.79,9536.46,36593653.4
1/3/2019,BTCUSD,3890.79,3893.8,3758.07,3787.57,8715.63,33354904.32
1/4/2019,BTCUSD,3787.57,3849,3730,3820.25,8951.89,33883543.98
1/5/2019,BTCUSD,3820.25,3874.12,3775,3798.62,6205.09,23788949.1
1/6/2019,BTCUSD,3798.62,4088,3756.01,4040.99,8949.92,35451351.39
1/7/2019,BTCUSD,4040.99,4070,3968.79,4006.01,9408.71,37822045.68
1/8/2019,BTCUSD,4006.01,4114.8,3945,3993.86,12850.61,51608355.86
1/9/2019,BTCUSD,3993.86,4042.2,3962.12,4004.12,10180.99,40806556.14
1/10/2019,BTCUSD,4004.12,4035.21,3560,3626.12,18967.77,71162282.34
1/11/2019,BTCUSD,3626.12,3699.26,3576.09,3635.69,13866.3,50456331.51
1/12/2019,BTCUSD,3635.69,3649.18,3557.29,3619.41,5418.47,19639259.73
1/13/2019,BTCUSD,3619.41,3641.86,3482,3514.24,7072.38,25092340.55
1/14/2019,BTCUSD,3514.24,3711.1,3509.24,3664.19,10607.81,38411565.21
1/15/2019,BTCUSD,3664.19,3684.38,3540,3580.76,10048.6,36429393.35
1/16/2019,BTCUSD,3580.76,3666.73,3572.52,3609.71,8531.11,30758589.69
1/17/2019,BTCUSD,3609.71,3657,3541.29,3640.65,8526.63,30758678.41
1/18/2019,BTCUSD,3640.65,3643.69,3580.16,3607.85,5741.49,20744958.32
1/19/2019,BTCUSD,3607.85,3759.98,3604.9,3682.65,4765.26,17551096.43
1/20/2019,BTCUSD,3682.65,3703.39,3481.01,3536.19,6721.45,24022523.12
1/21/2019,BTCUSD,3536.19,3568.95,3487.37,3531.76,6240.95,22065763.42
1/22/2019,BTCUSD,3531.76,3611.5,3425,3577.03,8672.66,30775003.38
1/23/2019,BTCUSD,3577.03,3614.47,3523.64,3553.01,7628.41,27204598.72
1/24/2019,BTCUSD,3553.01,3595.83,3530.1,3568.97,5607.18,19952934.72
1/25/2019,BTCUSD,3568.97,3578.79,3510.01,3562.18,6547.88,23272887.24
1/26/2019,BTCUSD,3562.18,3657.76,3540,3556.07,4534.02,16208498.17
1/27/2019,BTCUSD,3556.07,3562.9,3471.98,3531.01,3868.19,13690073.61
1/28/2019,BTCUSD,3531.01,3535.92,3374.02,3429.95,11621.01,39919615.64
1/29/2019,BTCUSD,3429.95,3438.4,3337.87,3397.42,8168.2,27746463.85
1/30/2019,BTCUSD,3397.42,3459.41,3373.35,3437.55,8293.61,28405644.02
1/31/2019,BTCUSD,3437.55,3473.4,3396.74,3411.49,7148.39,24471669.15
2/1/2019,BTCUSD,3411.49,3458.26,3369.62,3437.5,8410.91,28763661.15
2/2/2019,BTCUSD,3437.5,3483.24,3414.49,3468.43,3813.96,13105971.91
2/3/2019,BTCUSD,3468.43,3471.76,3386.45,3414.78,4341.6,14864318.35
2/4/2019,BTCUSD,3414.78,3435,3395.1,3409.57,5727.22,19551500.4
2/5/2019,BTCUSD,3409.57,3429.46,3400,3428.4,5993.48,20484570.9
2/6/2019,BTCUSD,3428.4,3441,3340.8,3367.36,8897.36,30027779.92
2/7/2019,BTCUSD,3367.36,3383.14,3352.01,3359,8292.37,27907612.16
2/8/2019,BTCUSD,3359,3711,3344,3622,15716.99,55243279.17
2/9/2019,BTCUSD,3622,3642.11,3597,3623.73,4887.47,17674316.87
2/10/2019,BTCUSD,3623.73,3654.28,3578.59,3648.85,5165.23,18675524.41
2/11/2019,BTCUSD,3648.85,3652,3579.38,3590.36,8107.71,29178699.25
2/12/2019,BTCUSD,3590.36,3618.77,3550,3588.06,7722.15,27645391.28
2/13/2019,BTCUSD,3588.06,3627.99,3562.98,3576.68,6850.51,24541109.49
2/14/2019,BTCUSD,3576.68,3589,3535.1,3561.5,5661.32,20210454.73
2/15/2019,BTCUSD,3561.5,3620.22,3545.89,3566.59,6844.45,24453168.07
2/16/2019,BTCUSD,3566.59,3607.36,3565.5,3582.37,4156.81,14916499.5
2/17/2019,BTCUSD,3582.37,3675,3557.43,3625.08,5781.9,20780886.86
2/18/2019,BTCUSD,3625.08,3917,3616.18,3867,15037.03,56655317.89
2/19/2019,BTCUSD,3867,3969.54,3841.54,3888.01,13795.19,53982559.47
2/20/2019,BTCUSD,3888.01,3967.19,3867.13,3938.99,8325.53,32602642.37
2/21/2019,BTCUSD,3938.99,3988,3869.45,3897.71,8198.49,32077392.67
2/22/2019,BTCUSD,3897.71,3956.43,3886.15,3942.02,7477.11,29358924.77
2/23/2019,BTCUSD,3942.02,4156.1,3911.3,4110,9881.57,39860713.71
2/24/2019,BTCUSD,4110,4188.79,3712.84,3734.22,14145.95,55233424.46
2/25/2019,BTCUSD,3734.22,3860,3731.09,3818.79,10610.58,40365766.13
